concept,xpath,frequency
"spatialVector_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_codeDefinition_code","/eml/dataset/spatialVector/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code",4993
"spatialVector_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_codeDefinition","/eml/dataset/spatialVector/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition",4993
"spatialVector_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_codeDefinition_definition","/eml/dataset/spatialVector/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition",4993
"spatialVector_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_codeDefinition_source","/eml/dataset/spatialVector/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/source",4265
"spatialRaster_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_codeDefinition","/eml/dataset/spatialRaster/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition",1204
"spatialRaster_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_codeDefinition_definition","/eml/dataset/spatialRaster/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition",1204
"spatialRaster_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_codeDefinition_code","/eml/dataset/spatialRaster/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code",1204
"spatialRaster_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_codeDefinition_source","/eml/dataset/spatialRaster/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/source",251
"spatialVector_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_externalCodeSet_codesetName","/eml/dataset/spatialVector/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/externalCodeSet/codesetName",37
"spatialRaster_attributeList_attribute_missingValueCode_codeExplanation","/eml/dataset/spatialRaster/attributeList/attribute/missingValueCode/codeExplanation",30
"spatialRaster_attributeList_attribute_missingValueCode_code","/eml/dataset/spatialRaster/attributeList/attribute/missingValueCode/code",30
"dataTable_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_codeDefinition_source","/eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/source",23
"spatialVector_attributeList_attribute_missingValueCode_code","/eml/dataset/spatialVector/attributeList/attribute/missingValueCode/code",20
"spatialVector_attributeList_attribute_missingValueCode_codeExplanation","/eml/dataset/spatialVector/attributeList/attribute/missingValueCode/codeExplanation",20
"dataTable_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_externalCodeSet_codesetURL","/eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/externalCodeSet/codesetURL",18
"dataTable_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_externalCodeSet_codesetName","/eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/externalCodeSet/codesetName",18
"dataTable_attributeList_attribute_measurementScale_ordinal_nonNumericDomain_enumeratedDomain_codeDefinition_source","/eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/source",3
"spatialVector_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_externalCodeSet_codesetURL","/eml/dataset/spatialVector/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/externalCodeSet/codesetURL",2
"contact_address_country","/eml/dataset/contact/address/country",9551
"creator_address_country","/eml/dataset/creator/address/country",9422
"project_personnel_address_country","/eml/dataset/project/personnel/address/country",6544
"associatedParty_address_country","/eml/dataset/associatedParty/address/country",4939
"metadataProvider_address_country","/eml/dataset/metadataProvider/address/country",3104
"publisher_address_country","/eml/dataset/publisher/address/country",2900
"project_relatedProject_personnel_address_country","/eml/dataset/project/relatedProject/personnel/address/country",1598
"dataTable_methods_methodStep_software_creator_address_country","/eml/dataset/dataTable/methods/methodStep/software/creator/address/country",880
"dataTable_methods_methodStep_software_associatedParty_address_country","/eml/dataset/dataTable/methods/methodStep/software/associatedParty/address/country",880
"methods_methodStep_dataSource_creator_address_country","/eml/dataset/methods/methodStep/dataSource/creator/address/country",306
"methods_methodStep_dataSource_contact_address_country","/eml/dataset/methods/methodStep/dataSource/contact/address/country",234
"project_designDescription_citation_book_publisher_address_country","/eml/dataset/project/designDescription/citation/book/publisher/address/country",11
"project_designDescription_citation_creator_address_country","/eml/dataset/project/designDescription/citation/creator/address/country",11
"methods_methodStep_protocol_creator_address_country","/eml/dataset/methods/methodStep/protocol/creator/address/country",4
"methods_methodStep_citation_presentation_conferenceLocation_country","/eml/dataset/methods/methodStep/citation/presentation/conferenceLocation/country",3
"methods_sampling_citation_creator_address_country","/eml/dataset/methods/sampling/citation/creator/address/country",2
"methods_methodStep_citation_creator_address_country","/eml/dataset/methods/methodStep/citation/creator/address/country",2
"methods_methodStep_software_creator_address_country","/eml/dataset/methods/methodStep/software/creator/address/country",1
"methods_sampling_citation_contact_address_country","/eml/dataset/methods/sampling/citation/contact/address/country",1
